'schluessel','lfdnr','baumnr','ortsteil','plz','strasse','hausnr','xkoord','ykoord','l_geogr','b_geogr','bsgroesse','baumartbot','baumartdt','buegel','buegelerf','bsmulch','bssplitt','bserw','bsfraesen','material','bemerk','status','id','version','pflanzp','spendenstatus','reserviert_bis'
'0312H059','59',' 51/1 - 0021','Prenzlauer Berg','10439','Gudvanger Straße','51','24968.30','26494.39',13.426312112099999752,52.551597448000002544,'4','Prunus serrul.\"Kanzan\"','Japanische Blütenkirsche','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',658,0,1,'',NULL
'0312H060','60',' 53/1 - 0020','Prenzlauer Berg','10439','Gudvanger Straße','53','24983.63','26504.62',13.426473625999999939,52.551741505599999016,'4','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',659,0,1,'',NULL
'0312H061','61',' 57/1 - 0070','Prenzlauer Berg','10439','Gudvanger Straße','57','25006.60','26520.01',13.426693825599999244,52.551948567799996681,'5','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','1','','','GEPFLANZT',660,0,1,'',NULL
'0312H062','62',' 18/2 - 0028','Prenzlauer Berg','10437','Kopenhagener Straße','18','24686.79','25187.88',13.407070976600000023,52.549038121899997122,'4','Acer rubrum','Rot-Ahorn','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',661,0,1,'',NULL
'0312H063','63',' 19/2 - 0163','Prenzlauer Berg','10437','Kopenhagener Straße','19','24685.68','25178.34',13.406923604799999339,52.549028862000000117,'2,5','Acer rubrum','Rot-Ahorn','','2','','x','','','','','GEPFLANZT',662,0,1,'',NULL
'0312H064','64',' 20/1 - 0157','Prenzlauer Berg','10437','Kopenhagener Straße','20','24683.99','25167.71',13.406776278000000602,52.549010615500002075,'4','Acer rubrum','Rot-Ahorn','','2','','x','','1','','Stubben sichtbar','GEPFLANZT',663,0,1,'',NULL
'0312H065','65',' 22/1 - 0164','Prenzlauer Berg','10437','Kopenhagener Straße','22','24678.79','25131.12',13.406231061699999785,52.548964669400000105,'2,5','Acer rubrum','Rot-Ahorn','','2','','x','','','','','GEPFLANZT',664,0,1,'',NULL
'0312H066','66',' 23/1 - 0142','Prenzlauer Berg','10437','Kopenhagener Straße','23','24674.13','25099.92',13.405774296400000622,52.548918885699997361,'4','Acer rubrum','Rot-Ahorn','','2','','x','','1','','Stubben sichtbar','GEPFLANZT',665,0,1,'',NULL
'0312H067','67',' 26/1 - 0162','Prenzlauer Berg','10437','Kopenhagener Straße','26','24667.47','25056.01',13.405125981599999463,52.548854769099996531,'4','Acer rubrum','Rot-Ahorn','','2','','x','','','','','GEPFLANZT',666,0,1,'',NULL
'0312H068','68',' 6/2 - 0006','Prenzlauer Berg','10439','Malmöer Straße','6','24896.11','24981.29',13.404009951200000827,52.550910594199997661,'3','Magnolia kobus','Kobushi-Magnolie','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',667,0,1,'',NULL
'0312H069','69',' 13/1 - 0020','Prenzlauer Berg','10439','Malmöer Straße','13','25146.53','24922.04',13.403128745300000091,52.553155568900002947,'4','Magnolia kobus','Kobushi-Magnolie','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',668,0,1,'',NULL
'0312H070','70',' 14/1 - 0087','Prenzlauer Berg','10439','Malmöer Straße','14','25157.63','24919.18',13.403083968300000706,52.553263322799999457,'3','Magnolia kobus','Kobushi-Magnolie','','2','','x','','2','','','GEPFLANZT',669,0,1,'',NULL
'0312H071','71',' 14/2 - 0090','Prenzlauer Berg','10439','Malmöer Straße','14','25170.81','24916.16',13.403039145399999299,52.553380063100000541,'3','Magnolia kobus','Kobushi-Magnolie','','2','','x','','2','','','GEPFLANZT',670,0,1,'',NULL
'0312H072','72',' 27/2 - 0076','Prenzlauer Berg','10439','Malmöer Straße','27','24846.52','24973.85',13.403909029299999389,52.550461077500003171,'2','Magnolia kobus','Kobushi-Magnolie','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',671,0,1,'',NULL
'0814H004','4','89','Neukölln','12059','Harzerstraße','73-74','28184.47','17419.92',13.451506797175100000,52.483806869760500000,'4,00x2,00','Sophora japonica','Japanischer Schnurbaum','','','','','','','','8,00',NULL,8786,0,5,NULL,NULL
'0312H075','75',' 2/2 - 0038','Prenzlauer Berg','10439','Meyerheimstraße','2','24529.20','26534.11',13.426919717000000531,52.547653384000000187,'2','Ulmus hybride „Regal“','Ulme','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',674,0,1,'',NULL
'0312H076','76',' 3/1 - 0003','Prenzlauer Berg','10439','Meyerheimstraße','3','24537.77','26538.06',13.426978314999999498,52.547734361700001671,'4','Ulmus hybride „Regal“','Ulme','','2','','x','','3','','Stubben sichtbar','GEPFLANZT',675,0,1,'',NULL
'0312H077','77',' 4/2 - 0005','Prenzlauer Berg','10439','Meyerheimstraße','4','24561.49','26550.23',13.427154272999999307,52.547941348599998435,'4','Ulmus hybride „Regal“','Ulme','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',676,0,1,'',NULL
'0312H078','78',' 7/2 - 0012','Prenzlauer Berg','10439','Meyerheimstraße','7','24669.72','26605.12',13.427960623400000628,52.548922236899997529,'3','Ulmus hybride „Regal“','Ulme','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',677,0,1,'',NULL
'0312H079','79',' 13/3 - 0026','Prenzlauer Berg','10439','Meyerheimstraße','13','24616.31','26564.61',13.427373154999999727,52.548435976800000446,'3','Ulmus hybride „Regal“','Ulme','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',678,0,1,'',NULL
'0814H007','7','133','Neukölln','12059','Harzerstraße','ggü. 15','27670.15','17853.52',13.443919870584700000,52.487691968212900000,'4,00x2,00','Tilia cordata \'Greenspire\'','Winterlinde','','','','','','','','8,00',NULL,8789,0,5,NULL,NULL
'0814H006','6','106','Neukölln','12059','Harzerstraße','83','28052.91','17530.99',13.449566228047200000,52.484802118673600000,'4,00x2,00','Tilia cordata \'Greenspire\'','Winterlinde','','','4','','BS defeckt','','','8,00',NULL,8788,0,5,NULL,NULL
